,id,text,rating_OI_content,rater_id
33,d860jzy_4,"So, is my reasoning incorrect? Or, is my reasoning mostly correct but I'm wrong about this being uncommon in the feminist community? The majority of my views on feminism are from NOW.Org, so if there is a more official spokesgroup for feminism then I'd be interested in seeing that as well.",Yes - Content opposes someone else,amy
34,d860jzy_4,"So, is my reasoning incorrect? Or, is my reasoning mostly correct but I'm wrong about this being uncommon in the feminist community? The majority of my views on feminism are from NOW.Org, so if there is a more official spokesgroup for feminism then I'd be interested in seeing that as well.",Yes - Content opposes someone else,nikhil
35,d860jzy_4,"So, is my reasoning incorrect? Or, is my reasoning mostly correct but I'm wrong about this being uncommon in the feminist community? The majority of my views on feminism are from NOW.Org, so if there is a more official spokesgroup for feminism then I'd be interested in seeing that as well.",No - Content does not oppose anyone,helena
36,t1_ch5og13_1,"&amp;#8710;
You have changed my view, we still do have a need for militias, as situations like the LA Riots remove law and order and leaves civilians to fend for themselves. its not much different from the founders days in that respect I guess. And apparently assault rifles don't kill that many people, so I guess their usage in emergencies is in no way outweighed by the amount of suffering caused by them.",No - Content does not oppose anyone,amy
37,t1_ch5og13_1,"&amp;#8710;
You have changed my view, we still do have a need for militias, as situations like the LA Riots remove law and order and leaves civilians to fend for themselves. its not much different from the founders days in that respect I guess. And apparently assault rifles don't kill that many people, so I guess their usage in emergencies is in no way outweighed by the amount of suffering caused by them.",No - Content does not oppose anyone,nikhil
38,t1_ch5og13_1,"&amp;#8710;
You have changed my view, we still do have a need for militias, as situations like the LA Riots remove law and order and leaves civilians to fend for themselves. its not much different from the founders days in that respect I guess. And apparently assault rifles don't kill that many people, so I guess their usage in emergencies is in no way outweighed by the amount of suffering caused by them.",No - Content does not oppose anyone,helena
39,t1_ceh0b84_2,I guess I start having issues when one person's behavior affects another's and until this comment I could not see how anyone else except the pee-er would be affected.,No - Content does not oppose anyone,amy
40,t1_ceh0b84_2,I guess I start having issues when one person's behavior affects another's and until this comment I could not see how anyone else except the pee-er would be affected.,No - Content does not oppose anyone,nikhil
41,t1_ceh0b84_2,I guess I start having issues when one person's behavior affects another's and until this comment I could not see how anyone else except the pee-er would be affected.,No - Content does not oppose anyone,helena
42,t1_cpuh9jr_3,"[This paper](https://www.cbo.gov/sites/default/files/11-15-2012-MarginalTaxRates.pdf) (PDF warning) from the US Congressional Budget Office provides a good illustration.  In particular, check out the summary fig 1 on page 6 of the PDF.  The disposable income line is just incredibly flat for a single parent with one child from $0 income to $30,000 income.  There's like zero incentive to go from making $10,000/yr to $20,000/yr.  That's a big part of what a guaranteed basic income can solve.",Yes - Content opposes someone else,amy
43,t1_cpuh9jr_3,"[This paper](https://www.cbo.gov/sites/default/files/11-15-2012-MarginalTaxRates.pdf) (PDF warning) from the US Congressional Budget Office provides a good illustration.  In particular, check out the summary fig 1 on page 6 of the PDF.  The disposable income line is just incredibly flat for a single parent with one child from $0 income to $30,000 income.  There's like zero incentive to go from making $10,000/yr to $20,000/yr.  That's a big part of what a guaranteed basic income can solve.",Yes - Content opposes someone else,nikhil
44,t1_cpuh9jr_3,"[This paper](https://www.cbo.gov/sites/default/files/11-15-2012-MarginalTaxRates.pdf) (PDF warning) from the US Congressional Budget Office provides a good illustration.  In particular, check out the summary fig 1 on page 6 of the PDF.  The disposable income line is just incredibly flat for a single parent with one child from $0 income to $30,000 income.  There's like zero incentive to go from making $10,000/yr to $20,000/yr.  That's a big part of what a guaranteed basic income can solve.",Yes - Content opposes someone else,helena
45,dy2z5gl_2,"1) Duty: People generally have a legal duty to exercise ""reasonable care"" to avoid injury to others. This element hinges on whether the harm caused is ""foreseeable,"" but in most circumstances, you have a duty of reasonable care to those in physical proximity to you.
Is failing to vaccinate a failure to exercise such care? I don't believe there's any precedent for that, but it's possible a court would buy that. In any case, this would be the first major legal hurdle.",Yes - Content opposes someone else,amy
46,dy2z5gl_2,"1) Duty: People generally have a legal duty to exercise ""reasonable care"" to avoid injury to others. This element hinges on whether the harm caused is ""foreseeable,"" but in most circumstances, you have a duty of reasonable care to those in physical proximity to you.
Is failing to vaccinate a failure to exercise such care? I don't believe there's any precedent for that, but it's possible a court would buy that. In any case, this would be the first major legal hurdle.",No - Content does not oppose anyone,nikhil
47,dy2z5gl_2,"1) Duty: People generally have a legal duty to exercise ""reasonable care"" to avoid injury to others. This element hinges on whether the harm caused is ""foreseeable,"" but in most circumstances, you have a duty of reasonable care to those in physical proximity to you.
Is failing to vaccinate a failure to exercise such care? I don't believe there's any precedent for that, but it's possible a court would buy that. In any case, this would be the first major legal hurdle.",No - Content does not oppose anyone,helena
48,dy2z5gl_4,"The first question is a tough one. How can you prove you got sick from a specific person? Barring some sort of notable physical contact or assault, it would seem a pretty tenuous case. Heck, every time I get sick I play the game ""OK, who got me sick?"" but it's pretty much a guess.",Yes - Content opposes someone else,amy
49,dy2z5gl_4,"The first question is a tough one. How can you prove you got sick from a specific person? Barring some sort of notable physical contact or assault, it would seem a pretty tenuous case. Heck, every time I get sick I play the game ""OK, who got me sick?"" but it's pretty much a guess.",No - Content does not oppose anyone,nikhil
50,dy2z5gl_4,"The first question is a tough one. How can you prove you got sick from a specific person? Barring some sort of notable physical contact or assault, it would seem a pretty tenuous case. Heck, every time I get sick I play the game ""OK, who got me sick?"" but it's pretty much a guess.",No - Content does not oppose anyone,helena
51,d0coanv_1,"You said:
&gt; Because our body doesn't know how to function properly without meat.
You also said:",Yes - Content opposes someone else,amy
52,d0coanv_1,"You said:
&gt; Because our body doesn't know how to function properly without meat.
You also said:",Yes - Content opposes someone else,nikhil
53,d0coanv_1,"You said:
&gt; Because our body doesn't know how to function properly without meat.
You also said:",No - Content does not oppose anyone,helena
54,d0coanv_2,"&gt; I said that our body isn't apt on functioning optimally without meat in our diet.
Do you continue to stand behind these statements?",Yes - Content opposes someone else,amy
55,d0coanv_2,"&gt; I said that our body isn't apt on functioning optimally without meat in our diet.
Do you continue to stand behind these statements?",Yes - Content opposes someone else,nikhil
56,d0coanv_2,"&gt; I said that our body isn't apt on functioning optimally without meat in our diet.
Do you continue to stand behind these statements?",Yes - Content opposes someone else,helena
57,d0dh0g3,You haven't read anything I wrote. You just kept changing your story.,Yes - Content opposes someone else,amy
58,d0dh0g3,You haven't read anything I wrote. You just kept changing your story.,Yes - Content opposes someone else,nikhil
59,d0dh0g3,You haven't read anything I wrote. You just kept changing your story.,Yes - Content opposes someone else,helena
60,dhw5rij,"It hasn't worked in real life.. but with distribution of resources handled by advanced algorithms run through computers rather than corruptible or incompetent bureaucrats, couldn't it?",Yes - Content opposes someone else,amy
61,dhw5rij,"It hasn't worked in real life.. but with distribution of resources handled by advanced algorithms run through computers rather than corruptible or incompetent bureaucrats, couldn't it?",No - Content does not oppose anyone,nikhil
62,dhw5rij,"It hasn't worked in real life.. but with distribution of resources handled by advanced algorithms run through computers rather than corruptible or incompetent bureaucrats, couldn't it?",Yes - Content opposes someone else,helena
63,e2f1am8,"Okay, but since we are talking about this so-called 'study'. Maybe you wanna discuss that instead of something entirely besides the point?",Yes - Content opposes someone else,amy
64,e2f1am8,"Okay, but since we are talking about this so-called 'study'. Maybe you wanna discuss that instead of something entirely besides the point?",Yes - Content opposes someone else,nikhil
65,e2f1am8,"Okay, but since we are talking about this so-called 'study'. Maybe you wanna discuss that instead of something entirely besides the point?",Yes - Content opposes someone else,helena
